City,Latitude,Longitude,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Ushuaia,-54.8,-68.3,42.46,87,75,10.36,AR,1632186512
Puerto Ayora,-0.7393,-90.3518,68.09,83,40,10.4,EC,1632186596
Tuktoyaktuk,69.4541,-133.0374,39.2,87,90,16.11,CA,1632186708
East London,-33.0153,27.9116,57.63,55,9,25.72,ZA,1632186708
Poum,-20.2333,164.0167,72.7,64,16,20.18,NC,1632186709
Saint-Augustin,51.226,-58.6502,50.04,60,22,11.52,CA,1632186709
Dingle,10.9995,122.6711,80.4,84,100,2.86,PH,1632186709
Yaan,7.3833,8.5667,74.17,93,100,6.08,NG,1632186710
Stokmarknes,68.5646,14.9108,48.18,57,0,21.85,NO,1632186710
Puerto Escondido,15.85,-97.0667,81.43,57,75,0,MX,1632186711
Hackettstown,40.854,-74.8291,69.66,72,43,3.44,US,1632186711
Busselton,-33.65,115.3333,59.2,55,0,11.59,AU,1632186711
Hermanus,-34.4187,19.2345,51.69,67,34,6.91,ZA,1632186712
New Norfolk,-42.7826,147.0587,49.5,58,100,8.93,AU,1632186712
North Branch,45.5113,-92.9802,62.67,94,62,11.18,US,1632186713
Nanortalik,60.1432,-45.2371,37.33,71,2,12.97,GL,1632186713
Lorengau,-2.0226,147.2712,80.69,79,99,4.99,PG,1632186713
Stephenville,32.2207,-98.2023,93.2,31,40,4.61,US,1632186714
Leningradskiy,69.3833,178.4167,26.67,82,86,11.88,RU,1632186714
Roquetas de Mar,36.7642,-2.6148,75.2,84,15,4.47,ES,1632186714
Aykhal,66,111.5,36.18,64,100,13.76,RU,1632186715
Albany,42.6001,-73.9662,66.07,84,100,4.63,US,1632186667
Hobart,-42.8794,147.3294,49.86,53,75,12.66,AU,1632186453
Punta Arenas,-53.15,-70.9167,51.91,66,75,17.27,CL,1632186716
Warri,5.5167,5.75,76.59,90,100,4.03,NG,1632186716
Haines Junction,60.7522,-137.5108,42.75,93,100,2.3,CA,1632186716
Port Alfred,-33.5906,26.891,59.27,57,97,24.83,ZA,1632186717
Rikitea,-23.1203,-134.9692,73.99,76,15,11.61,PF,1632186505
Carnarvon,-24.8667,113.6333,75.96,33,0,20.85,AU,1632186717
Clyde River,70.4692,-68.5914,29.44,71,92,6.93,CA,1632186718
Djibouti,11.5,42.5,83.62,51,11,4.97,DJ,1632186718
Ukiah,39.1502,-123.2078,91.29,18,1,3.44,US,1632186719
Nueva Loja,0.0847,-76.8828,76.62,77,100,1.23,EC,1632186719
Atuona,-9.8,-139.0333,77.88,71,0,19.91,PF,1632186719
Kwang Binh,17.4833,106.6,80.17,86,99,3.87,VN,1632186720
Cantaura,9.3057,-64.3584,80.71,68,100,3.89,VE,1632186720
Saint George,37.1041,-113.5841,84.67,13,1,13.8,US,1632186720
Hualmay,-11.0964,-77.6139,61.2,82,36,10.58,PE,1632186721
Padang,-0.9492,100.3543,77.05,83,40,2.53,ID,1632186721
Ponta do Sol,32.6667,-17.1,72.23,82,32,6.62,PT,1632186722
Olavarría,-36.8927,-60.3225,42.58,74,0,7.65,AR,1632186722
Maku,39.2911,44.4521,60.87,43,1,2.62,IR,1632186722
Burnie,-41.0667,145.9167,50.79,56,100,11.7,AU,1632186723
Severo-Kuril'sk,50.6789,156.125,50.4,75,14,29.75,RU,1632186723
Touros,-5.1989,-35.4608,76.1,73,32,15.99,BR,1632186724
Mizdah,31.4451,12.9801,78.35,22,0,6.89,LY,1632186724
Pangoa,-12.1167,-73,76.6,61,100,2.64,PE,1632186724
Avarua,-21.2078,-159.775,77.05,83,75,5.75,CK,1632186607
Kaitangata,-46.2817,169.8464,54.73,70,100,2.01,NZ,1632186725
Yellowknife,62.456,-114.3525,45.12,93,40,5.75,CA,1632186726
San Vicente,-26.6167,-54.1333,69.69,71,8,3.87,AR,1632186726
Vaini,-21.2,-175.2,71.76,88,75,10.36,TO,1632186726
La Ronge,55.1001,-105.2842,50.25,66,40,1.14,CA,1632186727
Mataura,-46.1927,168.8643,52.59,77,100,4.59,NZ,1632186727
Teodoro Sampaio,-22.5325,-52.1675,83.59,23,3,1.83,BR,1632186727
Barrow,71.2906,-156.7887,32.02,80,75,16.11,US,1632186662
Butaritari,3.0707,172.7902,83.16,70,43,13.56,KI,1632186728
Biak,-0.9131,122.8766,75.38,91,100,5.55,ID,1632186728
Kapaa,22.0752,-159.319,84.18,74,75,12.66,US,1632186598
Mahabalipuram,12.6264,80.1722,80.65,76,88,11.56,IN,1632186729
Ribeira Grande,38.5167,-28.7,70.75,73,0,13.22,PT,1632186729
Noyabrsk,63.1994,75.4507,33.01,97,100,13.89,RU,1632186730
Te Anau,-45.4167,167.7167,44.56,96,100,3.56,NZ,1632186730
San Patricio,28.017,-97.5169,87.89,67,0,12.1,US,1632186731
Bara,10.3744,10.7288,75.72,82,98,5.01,NG,1632186731
Omboué,-1.5746,9.2618,75.15,84,99,7.54,GA,1632186732
Bluff,-46.6,168.3333,47.43,90,100,18.48,NZ,1632186732
Verkhnyaya Inta,65.9811,60.3094,34.03,98,100,16.6,RU,1632186733
Naze,28.3667,129.4833,77.72,68,0,2.3,JP,1632186733
Taoudenni,22.6783,-3.9836,95.79,9,0,11.63,ML,1632186734
Paracuru,-3.41,-39.0306,80.62,80,16,13.33,BR,1632186734
Hithadhoo,-0.6,73.0833,83.39,73,100,11.7,MV,1632186735
Qui Nhon,13.7667,109.2333,79.63,81,100,4.14,VN,1632186735
Cabedelo,-6.9811,-34.8339,74.07,73,12,12.59,BR,1632186735
Isangel,-19.55,169.2667,77.23,55,3,12.62,VU,1632186736
Bouza,14.4229,6.0428,86.11,39,58,8.66,NE,1632186736
Ambilobe,-13.2,49.05,65.68,78,0,5.32,MG,1632186736
Laas,46.6166,10.7002,50.74,93,76,3,IT,1632186737
Souillac,-20.5167,57.5167,68.38,64,20,10.36,MU,1632186737
Anchorage,61.2181,-149.9003,50.88,68,90,4.61,US,1632186603
Avera,33.194,-82.5271,74.71,97,100,10.65,US,1632186738
Wajir,1.7471,40.0573,74.79,63,0,13.85,KE,1632186738
Salalah,17.0151,54.0924,78.89,94,75,6.91,OM,1632186739
Along,28.1667,94.7667,75.13,88,26,0.89,IN,1632186739
Indiaroba,-11.5192,-37.5117,71.28,90,34,2.77,BR,1632186740
Saldanha,-33.0117,17.9442,42.85,69,100,15.57,ZA,1632186740
Comodoro Rivadavia,-45.8667,-67.5,48.06,43,0,8.05,AR,1632186740
Tasiilaq,65.6145,-37.6368,37.56,78,97,9.13,GL,1632186741
Itarema,-2.9248,-39.9167,78.53,81,36,14.92,BR,1632186741
Luau,-10.7073,22.2247,66.78,38,6,2.17,AO,1632186742
Porto-Novo,6.4965,2.6036,77.2,87,99,6.69,BJ,1632186742
Moose Factory,51.2585,-80.6094,78.8,65,20,16.11,CA,1632186743
Tessalit,20.1986,1.0114,90.09,10,0,7.16,ML,1632186743
Saint Paul Harbor,57.79,-152.4072,52.63,64,12,17.07,US,1632186744
Longyearbyen,78.2186,15.6401,40.84,93,75,0,SJ,1632186744
Castro,-24.7911,-50.0119,70.77,53,18,2.73,BR,1632186744
Tromsø,69.6496,18.957,39.22,70,0,2.3,NO,1632186745
São Filipe,14.8961,-24.4956,80.15,84,99,6.93,CV,1632186745
Port Elizabeth,-33.918,25.5701,53.89,82,0,14.97,ZA,1632186746
Norman Wells,65.282,-126.8329,53.87,53,95,12.95,CA,1632186746
Camacha,33.0833,-16.3333,69.22,68,40,10.36,PT,1632186747
Taos,36.4072,-105.5731,68.4,15,1,13.8,US,1632186747
Mayumba,-3.432,10.6554,74.32,85,100,6.93,GA,1632186747
Lima,-12.0432,-77.0282,59.25,77,0,13.8,PE,1632186747
Cherskiy,68.75,161.3,33.42,53,57,6.93,RU,1632186748
Nikolskoye,59.7035,30.7861,42.69,81,98,6.76,RU,1632186748
Oktyabr'skiy,54.4815,53.471,38.61,64,100,4.83,RU,1632186749
Port Hardy,50.6996,-127.4199,57.38,82,75,6.91,CA,1632186749
Pisco,-13.7,-76.2167,59.76,82,4,3.29,PE,1632186750
Micheweni,-4.9667,39.8333,74.05,85,0,9.13,TZ,1632186750
Saskylakh,71.9167,114.0833,32.9,91,100,5.91,RU,1632186751
Shingū,33.7333,135.9833,74.01,80,99,9.91,JP,1632186751
Alofi,-19.0595,-169.9187,75.09,94,75,10.36,NU,1632186751
Tazovsky,67.4667,78.7,31.96,85,96,14.03,RU,1632186752
Bethel,41.3712,-73.414,66.56,77,1,0,US,1632186752
Chui,-33.6971,-53.4616,56.03,89,92,16.53,UY,1632186753
Port Lincoln,-34.7333,135.8667,54.37,60,100,12.71,AU,1632186753
Sovetskaya Gavan',48.9723,140.2878,64.2,41,87,2.3,RU,1632186753
Ko Samui,9.5357,99.9357,81.19,77,100,15.39,TH,1632186754
Klaksvík,62.2266,-6.589,52.72,79,100,34.99,FO,1632186754
Keroka,-0.7758,34.9453,52.54,92,24,2.77,KE,1632186755
Havre-St-Pierre,50.2334,-63.5986,48.2,76,94,7.65,CA,1632186755
Bambous Virieux,-20.3428,57.7575,68.25,64,20,10.36,MU,1632186756
Baker City,44.7749,-117.8344,62.31,42,1,5.75,US,1632186660
Tres Arroyos,-38.3739,-60.2798,41.5,90,0,5.75,AR,1632186756
Torbay,47.6666,-52.7314,43.57,75,40,13.8,CA,1632186757
Salym,60.0625,71.4789,35.29,93,100,8.66,RU,1632186757
Cape Town,-33.9258,18.4232,53.92,64,25,10.16,ZA,1632186655
Belaya Gora,68.5333,146.4167,34.07,53,36,10.31,RU,1632186758
Pemberton,50.3164,-122.8027,57.06,73,100,4.76,CA,1632186758
Gushikawa,26.3544,127.8686,85.23,74,20,3.44,JP,1632186759
Teeli,51.0333,90.2333,39,55,43,0.34,RU,1632186759
Kachkanar,58.7,59.4948,29.46,91,40,3.56,RU,1632186760
Inírida,3.8653,-67.9239,74.75,95,100,2.39,CO,1632186760
Ginda,30.6945,78.4932,64.72,91,96,1.07,IN,1632186760
Qaanaaq,77.484,-69.3632,13.46,71,64,9.53,GL,1632186761
Kruisfontein,-34.0033,24.7314,53.96,68,81,15.73,ZA,1632186761
Morón,-34.6534,-58.6198,56.95,69,0,11.23,AR,1632186652
Bengkulu,-3.8004,102.2655,78.15,83,86,3.18,ID,1632186762
Dudinka,69.4058,86.1778,29.86,85,100,11.01,RU,1632186762
Abnūb,27.2696,31.1511,81.43,32,0,9.57,EG,1632186762
Jamestown,42.097,-79.2353,72.99,83,75,13.8,US,1632186763
Kyabé,9.4515,18.9449,70.66,97,100,4,TD,1632186763
Pevek,69.7008,170.3133,28.4,75,93,1.43,RU,1632186764
Thinadhoo,0.5333,72.9333,83.14,74,10,11.45,MV,1632186764
Katsuura,35.1333,140.3,73.51,65,87,10.31,JP,1632186765
Chabahar,25.2919,60.643,81.19,84,7,5.88,IR,1632186765
Ambon City,-3.6954,128.1814,82.54,94,40,1.14,ID,1632186765
Berezovyy,51.6667,135.7,60.85,56,87,1.43,RU,1632186766
Airai,-8.9266,125.4092,73.47,31,46,5.84,TL,1632186766
Kavieng,-2.5744,150.7967,83.89,68,100,4.56,PG,1632186767
Colac,-38.3333,143.5833,52.38,50,44,12.33,AU,1632186767
Petropavlovsk-Kamchatskiy,53.0452,158.6483,55.99,44,75,20.13,RU,1632186768
Saint-Philippe,-21.3585,55.7679,67.59,72,100,12.12,RE,1632186768
Yangi Marg`ilon,40.4272,71.7189,58.42,28,0,2.82,UZ,1632186768
Kez,57.8979,53.7152,37.54,81,100,4.12,RU,1632186769
Waingapu,-9.6567,120.2641,84.85,58,74,15.14,ID,1632186769
Yelizovo,53.1873,158.3805,57.34,44,75,20.13,RU,1632186770
Upernavik,72.7868,-56.1549,25.56,81,87,3,GL,1632186770
Vredendal,-31.6683,18.5012,51.28,57,38,6.76,ZA,1632186770
Katobu,-4.9408,122.5276,81.82,64,93,7.4,ID,1632186771
Isil'kul',54.9109,71.2728,37.8,91,100,10.69,RU,1632186771
Makushino,55.2103,67.2442,37.81,88,100,7.94,RU,1632186772
Kiama,-34.6833,150.8667,56.35,51,31,21.92,AU,1632186631
Kununurra,-15.7667,128.7333,91.38,25,14,20.71,AU,1632186546
Krutinka,56.0055,71.5113,37.92,97,100,13.02,RU,1632186772
Mahébourg,-20.4081,57.7,68.29,64,20,10.36,MU,1632186773
Arlit,18.7369,7.3853,90.45,10,0,12.48,NE,1632186773
Garoowe,8.4054,48.4845,74.66,70,32,20.8,SO,1632186773
Muros,42.7762,-9.0603,59.5,79,3,13.82,ES,1632186774
Misratah,32.3754,15.0925,81.55,67,0,1.39,LY,1632186774
Blythe,33.6103,-114.5964,99.05,12,1,4.61,US,1632186775
Hamilton,39.1834,-84.5333,71.35,86,90,5.75,US,1632186558
Bredasdorp,-34.5322,20.0403,45.72,81,16,4.61,ZA,1632186775
Guantánamo,20.1444,-75.2092,83.77,78,52,5.44,CU,1632186776
Pontianak,-0.0333,109.3333,78.78,89,20,8.05,ID,1632186776
Nuuk,64.1835,-51.7216,32.61,80,75,0,GL,1632186551
Vao,-22.6667,167.4833,70.45,65,85,16.82,NC,1632186777
Remedios,22.4947,-79.5458,79.72,81,91,11.3,CU,1632186777
Hilton Head,32.2163,-80.7526,77,94,90,0,US,1632186667
Buxton,53.2574,-1.9098,55.69,98,41,4.23,GB,1632186778
Vereeniging,-26.6731,27.9261,50.04,27,0,5.37,ZA,1632186496
Sinnamary,5.3833,-52.95,79.23,85,22,8.01,GF,1632186779
Felanitx,39.4696,3.1483,64.92,73,100,13.69,ES,1632186779
Morondava,-20.2833,44.2833,72.61,74,71,4.54,MG,1632186779
Trincomalee,8.5711,81.2335,79.65,82,83,14.85,LK,1632186780
Moram,17.8,76.4667,72.07,92,100,2.04,IN,1632186780
Ekhabi,53.5102,142.9671,53.55,51,84,17.11,RU,1632186780
Alyangula,-13.8483,136.4192,85.87,37,16,17.27,AU,1632186781
Mishkino,55.3389,63.9175,38.66,75,100,5.59,RU,1632186781
Husavik,66.0449,-17.3389,42.71,86,100,11.41,IS,1632186782
Fortuna,40.5982,-124.1573,70.14,59,20,9.22,US,1632186739
Mokhsogollokh,61.4681,128.9203,42.37,59,8,4.21,RU,1632186782
Catumbela,-12.4314,13.5472,70.77,88,100,3.24,AO,1632186783
Okotoks,50.7289,-113.9828,59.13,37,59,5.39,CA,1632186783
Meadow Lake,34.8014,-106.5436,80.08,17,1,10.02,US,1632186783
São João da Barra,-21.6403,-41.0511,73.13,87,6,17.98,BR,1632186784
Tiksi,71.6872,128.8694,35.76,72,100,8.52,RU,1632186784
Carutapera,-1.195,-46.02,78.13,79,31,7.23,BR,1632186785
Tautira,-17.7333,-149.15,84.22,72,18,13.27,PF,1632186785
Lerwick,60.1545,-1.1494,53.6,79,100,21.92,GB,1632186785
Dikson,73.5069,80.5464,34.99,76,97,11.1,RU,1632186786
Lexington,37.9887,-84.4777,69.8,88,75,8.05,US,1632186494
Baharly,38.4362,57.4316,67.23,29,0,6.26,TM,1632186786
Hilo,19.7297,-155.09,80.33,69,75,10.36,US,1632186578
Barrhead,55.7992,-4.3929,54.93,87,75,12.66,GB,1632186787
Karratha,-20.7377,116.8463,81.3,24,100,30.24,AU,1632186787
Buraidah,26.326,43.975,78.6,18,0,5.14,SA,1632186788
Develi,38.3906,35.4922,47.55,52,0,1.66,TR,1632186788
Lebu,-37.6167,-73.65,49.59,88,0,19.51,CL,1632186789
Mae Hong Son,19.3003,97.9685,76.05,95,92,1.16,TH,1632186789
Antalaha,-14.9003,50.2788,68.88,77,93,7.11,MG,1632186789
Alakurtti,66.9672,30.3491,30.67,95,24,2.66,RU,1632186790
George Town,5.4112,100.3354,80.53,89,20,0,MY,1632186790
Gaziantep,37.0594,37.3825,66.13,60,0,0,TR,1632186787
Makkah al Mukarramah,21.4267,39.8261,91.47,15,9,6.96,SA,1632186735
Kanchanaburi,14.6333,99.1,74.26,96,100,1.03,TH,1632186791
Kahului,20.8947,-156.47,87.82,45,40,21.85,US,1632186792
Gondal,21.9667,70.8,76.71,97,100,7.65,IN,1632186792
Hasaki,35.7333,140.8333,75.6,62,99,7.45,JP,1632186792
Khatanga,71.9667,102.5,32.4,97,100,2.26,RU,1632186793
Arraial do Cabo,-22.9661,-42.0278,71.31,90,87,26.04,BR,1632186793
Marawi,7.9986,124.2928,78.57,71,87,0.4,PH,1632186794
Thompson,55.7435,-97.8558,42.96,81,40,3.44,CA,1632186794
Oussouye,12.485,-16.5469,80.78,87,1,5.64,SN,1632186794
Panzhihua,26.5851,101.7128,69.49,74,2,0.78,CN,1632186795
Red Deer,52.2668,-113.802,59.49,36,1,3.44,CA,1632186753
Buhovo,42.7667,23.5667,51.58,76,20,14.97,BG,1632186796
Katherine,-14.4667,132.2667,89.92,31,74,18.41,AU,1632186796
Chemal,51.4111,86.005,37.36,67,100,1.43,RU,1632186796
Koratagere,13.5228,77.2331,71.47,86,100,5.7,IN,1632186797
Sittwe,20.15,92.9,79.25,87,97,4.43,MM,1632186797
Marmande,44.5,0.1667,61.11,88,72,4.18,FR,1632186798
Moshupa,-24.7782,25.4155,59.85,17,0,12.95,BW,1632186798
Sola,-13.8833,167.55,78.12,73,100,19.01,VU,1632186799
Necochea,-38.5473,-58.7368,46.83,80,0,10.78,AR,1632186799
Banda Aceh,5.5577,95.3222,80.6,75,93,12.41,ID,1632186799
Ketchikan,55.3422,-131.6461,50.86,98,100,9.22,US,1632186800
Moa,20.6569,-74.9403,79.61,83,52,8.39,CU,1632186800
Adrar,20.5022,-10.0711,89.19,24,0,17.65,MR,1632186801
Baft,29.234,56.6057,63.73,40,4,2.33,IR,1632186801
Vila Franca do Campo,37.7167,-25.4333,68.41,80,75,9.46,PT,1632186801
Gwanda,-20.9333,29,67.87,30,3,6.73,ZW,1632186802
Cooma,-36.2333,149.1333,44.37,81,75,24.16,AU,1632186802
Berëzovka,53.7214,25.4993,39.36,98,100,10.07,BY,1632186620
Vardø,70.3705,31.1107,42.15,73,34,26.44,NO,1632186803
Coquimbo,-29.9533,-71.3436,55.13,82,0,4.61,CL,1632186803
Pitimbu,-7.4706,-34.8086,73.99,74,11,10.85,BR,1632186804
Kaabong,3.4836,34.1492,65.23,70,8,2.42,UG,1632186804
Zeya,53.75,127.2667,58.96,71,0,1.92,RU,1632186804
Huarmey,-10.0681,-78.1522,62.28,84,22,10.22,PE,1632186805
Redmond,47.674,-122.1215,69.76,53,11,5.32,US,1632186694
São Gabriel da Cachoeira,-0.1303,-67.0892,78.75,76,95,2.3,BR,1632186805
Otorohanga,-38.1833,175.2,63.12,49,5,7.34,NZ,1632186806
Kyzyl-Suu,42.3414,78.0056,53.98,47,0,4.88,KG,1632186806
‘Āhuimanu,21.4447,-157.8378,89.31,54,75,12.66,US,1632186806
Mezen',65.8522,44.24,31.86,92,38,1.95,RU,1632186807
Huanren,41.2647,125.3667,63.84,93,100,11.25,CN,1632186807
Sitka,57.0531,-135.33,57.09,77,90,13.8,US,1632186808
Burns Lake,54.2331,-125.7533,47.62,91,100,7.47,CA,1632186808
Sangar,63.9242,127.4739,40.23,72,46,2.89,RU,1632186808
Nānākuli,21.3906,-158.1547,89.55,45,20,12.66,US,1632186809
Tokat,40.4167,36.5833,56.03,48,16,3.89,TR,1632186809
Pochutla,15.7432,-96.4661,79.65,82,97,4.32,MX,1632186809
Pivijay,10.4617,-74.6162,82.49,87,36,6.13,CO,1632186810
Pemba,-12.974,40.5178,74.1,83,75,3.44,MZ,1632186810
Roald,62.5833,6.1333,55.54,76,90,23.02,NO,1632186811
Khandyga,62.6667,135.6,39.56,87,93,2.1,RU,1632186811
Margate,51.3813,1.3862,51.66,86,59,7.02,GB,1632186811
Divnoye,45.9089,43.3547,64.65,63,98,6.26,RU,1632186812
Amapá,1,-52,72.52,96,100,1.99,BR,1632186813
Nadym,65.5333,72.5167,35.65,97,100,12.93,RU,1632186813
Mar del Plata,-38.0023,-57.5575,47.93,78,0,14.18,AR,1632186760
Hong Kong,22.2855,114.1577,86.05,75,93,1.88,HK,1632186814
Oddur,4.1213,43.8894,69.13,79,7,10.07,SO,1632186814
Pacific Grove,36.6177,-121.9166,88.2,38,1,4.61,US,1632186754
Hofn,64.2539,-15.2082,48.51,62,100,10.25,IS,1632186815
Mayor Pablo Lagerenza,-19.9309,-60.7718,91.09,26,95,5.28,PY,1632186815
Paldiski,59.3567,24.0531,44.85,74,95,8.3,EE,1632186815
Palmer,42.1584,-72.3287,63.21,82,20,4.61,US,1632186816
Nampula,-15.1165,39.2666,61.5,77,5,1.48,MZ,1632186816
Iqaluit,63.7506,-68.5145,31.73,74,90,5.75,CA,1632186817
Sartell,45.6216,-94.2069,60.58,94,90,17.27,US,1632186817
Sur,22.5667,59.5289,83.86,67,1,6.87,OM,1632186817
La Seyne-sur-Mer,43.0982,5.8847,60.76,67,80,6.26,FR,1632186818
Henties Bay,-22.116,14.2845,53.65,92,0,5.79,NA,1632186818
Mount Gambier,-37.8333,140.7667,51.98,60,98,10.69,AU,1632186818
Arinos,-15.9169,-46.1056,80.85,32,22,2.8,BR,1632186819
Mehamn,71.0357,27.8492,39.25,73,15,14.29,NO,1632186819
Batemans Bay,-35.7167,150.1833,54.64,52,96,14.5,AU,1632186820
Flinders,-34.5833,150.8552,56.68,47,46,20.15,AU,1632186820
Bay Roberts,47.5999,-53.2648,44.35,72,5,12.48,CA,1632186820
Huambo,-12.7761,15.7392,69.4,46,100,3.67,AO,1632186745
Campos Sales,-7.0744,-40.3761,80.98,39,96,5.12,BR,1632186821
Shimoda,34.6667,138.95,74.7,70,17,15.21,JP,1632186821
Yulara,-25.2406,130.9889,59.05,28,6,24.14,AU,1632186822
Lakes Entrance,-37.8811,147.981,52.16,60,55,18.99,AU,1632186822
Kupang,-10.1667,123.5833,86.58,51,20,12.66,ID,1632186823
Sadovoye,47.7764,44.5089,63.45,53,100,4.23,RU,1632186823
Baykit,61.67,96.37,38.53,86,100,5.59,RU,1632186824
Joensuu,62.6012,29.7632,34.29,93,0,5.75,FI,1632186824
Saran,47.9501,1.876,59.07,94,0,6.91,FR,1632186824
Mayo,38.8876,-76.5119,71.55,64,1,12.66,US,1632186825
