City,Latitude,Longitude,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Lüderitz,-26.6481,15.1594,58.1,60,0,15.48,NA,1632186825
Nanticoke,41.2054,-76.0049,65.53,90,100,4.72,US,1632186826
Malm,64.0721,11.2172,49.84,72,100,4.94,NO,1632186826
Abhā,18.2164,42.5053,62.85,24,0,5.75,SA,1632186826
Rincon,32.296,-81.2354,77.18,100,90,0,US,1632186691
San Antonio,29.4241,-98.4936,93.65,40,1,8.05,US,1632186817
Esperance,-33.8667,121.9,55.78,58,0,13.42,AU,1632186827
Riyadh,24.6877,46.7219,77.14,18,0,5.57,SA,1632186828
Regierungsbezirk Arnsberg,51.3297,8.0071,46.65,82,0,2.08,DE,1632186828
Verkhoyansk,67.5447,133.385,39.25,64,100,5.17,RU,1632186828
Mallaig,54.2169,-111.3685,57.49,51,99,5.41,CA,1632186829
Isla Vista,34.4133,-119.861,82.76,73,1,8.05,US,1632186829
Tomatlán,19.9333,-105.25,76.91,90,38,1.61,MX,1632186829
Mahon,39.8885,4.2658,68.56,73,75,16.11,ES,1632186830
Cidreira,-30.1811,-50.2056,67.32,97,97,2.77,BR,1632186830
Hanyang,32.1371,105.5126,68.68,80,0,1.99,CN,1632186831
Yakeshi,49.2833,120.7333,52.66,68,100,6.96,CN,1632186831
Coihueco,-36.6167,-71.8333,54.34,67,0,9.22,CL,1632186831
Örnsköldsvik,63.2909,18.7153,40.82,93,90,1.14,SE,1632186832
Machico,32.7,-16.7667,72.68,64,40,16.11,PT,1632186832
Parintins,-2.6283,-56.7358,75.97,87,100,1.95,BR,1632186833
Asău,46.4333,26.4,45.52,92,98,0.92,RO,1632186833
Makokou,0.5738,12.8642,70.32,98,38,3.42,GA,1632186834
Aklavik,68.2191,-135.0107,45.32,74,100,15.05,CA,1632186834
Ténenkou,14.4572,-4.9169,88.43,43,64,16.22,ML,1632186834
Vodnyy,63.5046,53.4095,33.53,84,77,4.07,RU,1632186835
Rokytne,51.2796,27.214,40.06,94,100,10.67,UA,1632186835
Fort Nelson,58.8053,-122.7002,55.78,55,100,8.43,CA,1632186835
Seoul,37.5683,126.9778,72.84,88,90,6.91,KR,1632186770
Atar,20.5169,-13.0499,89.73,29,0,13.49,MR,1632186836
Ceres,37.5949,-120.9577,88.12,21,1,6.91,US,1632186836
Isla Mujeres,21.2311,-86.731,84.25,81,31,11.16,MX,1632186837
Tuatapere,-46.1333,167.6833,46.24,94,100,3.62,NZ,1632186837
Palana,59.1167,159.9667,46.96,75,100,19.15,RU,1632186838
Cascais,38.6979,-9.4215,69.15,67,0,9.82,PT,1632186838
Sungai Penuh,-2.0833,101.3833,70.09,86,87,0.22,ID,1632186838
Ostrovnoy,68.0531,39.5131,34.9,86,91,11.21,RU,1632186839
Vanavara,60.34,102.2797,38.07,82,100,11.7,RU,1632186839
Kuntaur,13.6667,-14.8833,77.92,86,100,7.4,GM,1632186839
Hammond,41.5834,-87.5,79,83,1,14.97,US,1632186553
Kralendijk,12.15,-68.2667,82.38,74,94,11.5,BQ,1632186840
Kalabo,-14.97,22.6814,65.32,22,0,2.33,ZM,1632186840
Águas Vermelhas,-15.7472,-41.46,65.68,78,100,3.4,BR,1632186841
Vrangel',42.7297,133.0839,65.05,85,100,22.12,RU,1632186841
Acapulco de Juárez,16.8634,-99.8901,84.02,79,40,9.22,MX,1632186589
Moerai,-22.4333,-151.3333,74.91,78,1,11.41,PF,1632186842
Conceição da Barra,-18.5933,-39.7322,72.34,82,0,5.53,BR,1632186842
Geraldton,-28.7667,114.6,70.21,30,0,21.85,AU,1632186643
Puerres,1.1937,-77.2666,50.13,93,98,5.32,CO,1632186843
Paraná,-31.732,-60.5238,60.8,72,98,13.91,AR,1632186689
Faanui,-16.4833,-151.75,78.31,72,5,12.03,PF,1632186843
Adré,13.4667,22.2,73.67,74,15,3.85,TD,1632186844
Machacamarca,-18.1667,-67.0333,51.12,62,6,12.41,BO,1632186844
Quatre Cocos,-20.2078,57.7625,68.11,67,58,15.05,MU,1632186845
Killarney,52.05,-9.5167,54.66,91,95,2.1,IE,1632186845
Sardarpur,22.678,74.9484,71.47,97,95,7.47,IN,1632186846
Sainte-Suzanne,-20.9061,55.6089,68.22,72,75,19.57,RE,1632186846
Kutum,14.2,24.6667,76.96,43,100,3.15,SD,1632186846
Sisimiut,66.9395,-53.6735,33.15,79,100,7.05,GL,1632186847
Mitsamiouli,-11.3847,43.2844,76.12,79,8,12.8,KM,1632186847
Kiryat Gat,31.61,34.7642,74.08,74,0,5.3,IL,1632186848
Kapit,2.0167,112.9333,73.26,99,100,1.36,MY,1632186848
Yumen,40.2833,97.2,63.82,33,93,12.97,CN,1632186848
Irecê,-11.3042,-41.8558,76.37,42,85,11.99,BR,1632186849
Rudnaya Pristan',44.3614,135.8116,59.56,79,100,3.15,RU,1632186849
Brainerd,46.358,-94.2008,57.22,77,90,12.66,US,1632186850
Alice Springs,-23.7,133.8833,56.75,38,0,18.41,AU,1632186666
Manado,1.487,124.8455,88.57,70,20,2.3,ID,1632186582
Beloha,-25.1667,45.05,62.47,72,0,7.56,MG,1632186850
Pajarito,5.2929,-72.7028,67.59,94,90,5.1,CO,1632186851
Baltiysk,54.6538,19.911,48.18,71,16,10.71,RU,1632186851
Ilirska Bistrica,45.5697,14.2408,56.86,85,100,5.17,SI,1632186852
Talnakh,69.4865,88.3972,33.22,77,100,2.55,RU,1632186852
Serra Talhada,-7.9919,-38.2983,75.29,63,14,13.27,BR,1632186852
Susaki,33.3667,133.2833,76.73,76,79,7.65,JP,1632186853
Barabinsk,55.3571,78.357,39.74,93,100,12.77,RU,1632186853
Kloulklubed,7.0419,134.2556,82.9,72,100,3.49,PW,1632186854
Coyhaique,-45.5752,-72.0662,42.75,75,0,3.44,CL,1632186854
Narsaq,60.9167,-46.05,34.02,58,0,4.92,GL,1632186854
Luganville,-15.5333,167.1667,78.49,72,65,10.83,VU,1632186855
Tsirguliina,57.864,26.1947,41.16,85,100,7.25,EE,1632186855
Cap Malheureux,-19.9842,57.6142,68.49,67,48,20.13,MU,1632186856
Half Moon Bay,37.4636,-122.4286,89.42,28,1,14.97,US,1632186857
Beringovskiy,63.05,179.3167,42.67,93,100,7.34,RU,1632186858
Saryozek,44.3583,77.9753,49.23,32,97,3.51,KZ,1632186858
Pierre,44.3683,-100.351,58.12,58,75,6.91,US,1632186604
Moyale,3.5167,39.0584,66.92,61,0,11.79,KE,1632186859
Peniche,39.3558,-9.3811,69.28,75,0,13.27,PT,1632186859
Bathsheba,13.2167,-59.5167,83.01,69,20,8.05,BB,1632186859
Tsiroanomandidy,-18.7667,46.0333,63.55,67,87,4.21,MG,1632186860
Bijāwar,24.6333,79.5,75.99,88,7,2.77,IN,1632186860
Coahuayana Viejo,18.7333,-103.6833,83.68,87,43,2.64,MX,1632186861
Morganton,35.7454,-81.6848,74.52,83,40,0,US,1632186685
College,64.8569,-147.8028,39.15,52,75,6.91,US,1632186861
Codrington,-38.2667,141.9667,52.29,64,95,16.55,AU,1632186862
Mareeba,-17,145.4333,75.92,26,23,8.01,AU,1632186862
Berlevåg,70.8578,29.0864,40.1,74,40,26.8,NO,1632186863
Baldwin,30.7505,-87.7667,80.42,90,0,3.94,US,1632186863
Gamba,-2.65,10,74.07,85,100,6.51,GA,1632186864
Koslan,63.4564,48.8989,31.14,94,15,1.19,RU,1632186864
Sorong,-0.8833,131.25,81.91,73,68,2.06,ID,1632186864
Birjand,32.8663,59.2211,66.56,23,0,6.91,IR,1632186865
Ossora,59.2353,163.0719,48.97,90,100,24.4,RU,1632186865
Pavlivka,49.4414,28.4596,41.36,90,100,11.83,UA,1632186866
Richards Bay,-28.783,32.0377,66.49,76,100,15.93,ZA,1632186866
Verkhnevilyuysk,63.4453,120.3167,40.28,58,88,8.08,RU,1632186867
Iralaya,15,-83.2333,80.74,80,99,8.57,HN,1632186867
Carlisle,40.2015,-77.1889,69.44,82,85,6.67,US,1632186867
Kunashak,55.7032,61.5498,39.72,93,5,4.72,RU,1632186868
Manakara,-22.1333,48.0167,63.79,89,31,4,MG,1632186868
Hambantota,6.1241,81.1185,80.24,79,98,13.4,LK,1632186868
Saint Anthony,45.0205,-93.218,62.53,78,90,12.66,US,1632186869
Tomé,-36.6167,-72.95,52.41,75,0,6.51,CL,1632186869
Anori,-3.7728,-61.6442,77.88,77,80,3,BR,1632186870
Bagotville,-28.9833,153.4167,65.8,61,72,6.67,AU,1632186870
Torrijos,39.9819,-4.2835,57.25,51,5,14.81,ES,1632186870
Urusha,54.05,122.9,55.38,75,6,2.28,RU,1632186871
Muli,2.9167,73.5667,82.49,73,20,10.51,MV,1632186871
Aden,12.7794,45.0367,84.07,84,10,6.24,YE,1632186872
Vestmannaeyjar,63.4427,-20.2734,48.94,72,100,9.66,IS,1632186872
Concordia,-31.393,-58.0209,61.68,76,100,14.85,AR,1632186604
Lata,40.1629,-8.3327,57.61,58,0,10.56,PT,1632186873
Tombouctou,20,-3,92.77,12,0,3.89,ML,1632186873
Sambava,-14.2667,50.1667,70.45,77,78,11.01,MG,1632186874
Piracuruca,-3.9281,-41.7092,77.45,73,32,7.49,BR,1632186756
Emerald,-23.5333,148.1667,78.94,17,5,23.02,AU,1632186669
Arman',59.7,150.1667,46.69,66,60,11.86,RU,1632186874
Cootamundra,-34.65,148.0333,47.97,62,67,15.39,AU,1632186875
Guerrero Negro,27.9769,-114.0611,74.03,62,0,13.53,MX,1632186875
Hornepayne,49.2138,-84.7705,69.06,72,100,14.99,CA,1632186876
Kidal,18.4411,1.4078,89.8,10,0,3.76,ML,1632186876
Blagoveshchensk,50.2667,127.5333,47.01,93,20,4.47,RU,1632186876
Neuquén,-38.9516,-68.0591,51.69,62,0,0,AR,1632186877
Kamenka,51.3223,42.7678,46.9,79,95,9.13,RU,1632186877
Saint-Pierre,-21.3393,55.4781,67.68,68,75,10.36,RE,1632186878
Mossamedes,-15.1961,12.1522,60.93,85,9,2.91,AO,1632186878
Atherton,53.5237,-2.4935,58.55,90,97,3.09,GB,1632186878
Barra Patuca,15.8,-84.2833,80.98,78,93,7.78,HN,1632186740
Mezhova,48.2532,36.7347,51.19,64,100,5.1,UA,1632186879
Ugoofaaru,5.6667,73,82.06,76,99,10.65,MV,1632186879
Shepsi,44.0361,39.1489,67.82,73,6,6.26,RU,1632186880
Itacoatiara,-3.1431,-58.4442,78.04,79,82,3.18,BR,1632186880
Worksop,53.3018,-1.124,53.91,82,87,5.14,GB,1632186880
Nouakchott,18.0858,-15.9785,87.73,65,1,21.03,MR,1632186881
Berdigestyakh,62.0989,126.6992,40.87,65,13,5.48,RU,1632186881
Lufilufi,-13.8745,-171.5986,89.38,76,14,15.26,WS,1632186882
Lewistown,40.5992,-77.5714,69.21,77,20,0,US,1632186882
Kimbe,-5.5502,150.1429,89.17,59,93,1.43,PG,1632186882
Muzaffargarh,30.0754,71.1921,87.82,56,22,8.25,PK,1632186883
Lagoa,39.05,-27.9833,69.4,71,0,9.06,PT,1632186883
Bandarbeyla,9.4942,50.8122,76.19,83,6,24.56,SO,1632186884
Sudak,44.85,34.9667,60.06,72,99,9.64,UA,1632186884
Ahipara,-35.1667,173.1667,61.88,64,31,8.79,NZ,1632186884
Dukhovnitskoye,52.4828,48.2137,48.79,76,100,14.58,RU,1632186885
Lompoc,34.6391,-120.4579,82.54,64,1,10.36,US,1632186885
Khovd,48.0056,91.6419,47.26,24,2,6.38,MN,1632186886
Rognan,67.0953,15.3878,48.34,79,21,11.54,NO,1632186886
Mitú,1.1983,-70.1733,72.95,97,87,0.22,CO,1632186886
Madimba,-10.4,40.3333,70.52,89,56,4.74,TZ,1632186887
Santa Lucía,27.9117,-15.5407,65.52,68,40,14.97,ES,1632186888
Hirara,24.8,125.2833,83.5,76,20,7.09,JP,1632186888
Batagay-Alyta,67.8006,130.4114,35.73,69,100,3.42,RU,1632186888
Bubaque,11.2833,-15.8333,81.21,82,97,10.4,GW,1632186889
San Jeronimito,17.55,-101.3333,85.84,66,40,0,MX,1632186889
Maniwaki,46.3834,-75.966,59.38,77,51,3.44,CA,1632186669
Ilulissat,69.2167,-51.1,28.42,74,90,21.85,GL,1632186890
Port-Gentil,-0.7193,8.7815,76.95,84,94,13.04,GA,1632186890
Ponta Delgada,37.7333,-25.6667,68.72,77,20,6.91,PT,1632186890
Igrim,63.1906,64.4162,35.64,76,100,8.23,RU,1632186891
Salekhard,66.53,66.6019,37.44,95,100,13.22,RU,1632186891
Vila Velha,-20.3297,-40.2925,73.35,88,40,5.75,BR,1632186684
Constitución,-35.3333,-72.4167,51.42,78,0,8.14,CL,1632186656
Bosaso,11.2842,49.1816,88.83,55,4,9.78,SO,1632186892
Bima,-8.4667,118.7167,88.86,47,80,3.2,ID,1632186893
Celestún,20.8667,-90.4,82.4,81,20,16.58,MX,1632186893
Damietta,31.4165,31.8133,78.94,79,0,7.92,EG,1632186893
Wajima,37.4,136.9,76.96,70,0,4.07,JP,1632186894
Pangnirtung,66.1451,-65.7125,31.96,70,100,3.76,CA,1632186679
San Cristobal,7.7669,-72.225,73.58,96,100,2.35,VE,1632186828
Sørland,67.667,12.6934,48.22,72,100,25.88,NO,1632186895
Dalvik,65.9702,-18.5286,42.73,90,100,2.66,IS,1632186895
Anadyr,64.75,177.4833,34.3,93,75,13.42,RU,1632186895
Rawson,-43.3002,-65.1023,56.28,41,0,4.07,AR,1632186896
Chokurdakh,70.6333,147.9167,32.67,56,93,9.71,RU,1632186896
Cabo San Lucas,22.8909,-109.9124,83.5,78,40,3.44,MX,1632186897
Kyra,49.5776,111.9753,53.04,87,78,1.05,RU,1632186897
Río Cuarto,-33.1307,-64.3499,53.28,62,66,6.31,AR,1632186898
Ibotirama,-12.1853,-43.2206,80.58,35,45,2.24,BR,1632186898
Mount Isa,-20.7333,139.5,71.37,15,49,24.16,AU,1632186899
Tongren,27.7172,109.1853,77.59,75,0,1.63,CN,1632186899
Port Hedland,-20.3167,118.5667,84.25,18,36,26.46,AU,1632186900
Kontagora,10.3999,5.4695,74.75,88,85,3.65,NG,1632186900
Mundra,22.85,69.7333,81.64,83,74,14.25,IN,1632186901
Kuzhorskaya,44.6751,40.3103,59.68,77,100,3.78,RU,1632186901
Vidalia,32.2177,-82.4135,76.35,94,90,5.75,US,1632186702
Omsukchan,62.5333,155.8,38.89,96,100,7.67,RU,1632186903
Basco,20.4487,121.9702,84.34,77,100,10.8,PH,1632186904
Nouadhibou,20.931,-17.0347,73.38,73,6,22.48,MR,1632186904
Darhan,49.4867,105.9228,53.8,83,98,7.9,MN,1632186904
Guabito,9.5,-82.6167,78.91,83,100,0.47,PA,1632186905
Lázaro Cárdenas,17.9583,-102.2,80.62,82,27,4.59,MX,1632186769
Valença,-13.3703,-39.0731,69.76,97,33,2.8,BR,1632186905
Kuching,1.55,110.3333,79.02,89,40,3.44,MY,1632186711
Eyl,7.9803,49.8164,76.06,81,12,15.82,SO,1632186906
Resistencia,-27.4606,-58.9839,69.85,72,94,14.18,AR,1632186656
Belle Fourche,44.6714,-103.8522,54.91,48,100,10.8,US,1632186906
Périgueux,45.1833,0.7167,54.81,94,54,3.47,FR,1632186907
Luebo,-5.35,21.4167,73.35,60,100,1.12,CD,1632186907
Pasni,25.2631,63.471,79.56,90,7,12.5,PK,1632186908
Port Macquarie,-31.4333,152.9167,62.56,39,31,15.61,AU,1632186908
Nemuro,43.3236,145.575,66.63,81,65,15.08,JP,1632186908
Novoagansk,61.9449,76.6625,34.75,95,100,12.68,RU,1632186909
Kikwit,-5.041,18.8162,74.57,64,18,0.25,CD,1632186909
Srednekolymsk,67.45,153.6833,35.96,51,24,14.85,RU,1632186910
Praia da Vitória,38.7333,-27.0667,70.05,83,40,12.95,PT,1632186910
Philadelphia,39.9523,-75.1638,66.52,75,75,5.75,US,1632186904
Tahe,52.3333,124.7333,57.99,66,100,1.74,CN,1632186910
Duiwelskloof,-23.6934,30.14,64.62,41,5,2.77,ZA,1632186911
Fairbanks,64.8378,-147.7164,39.16,52,75,2.3,US,1632186912
Española,35.9911,-106.0806,75.94,22,100,8.3,US,1632186912
Asunción Ixtaltepec,16.5,-95.05,81.88,79,100,7.94,MX,1632186912
Gorontalo,0.5412,123.0595,79.23,83,100,2.19,ID,1632186684
Hillsborough,37.5741,-122.3794,88.83,27,1,17.27,US,1632186913
Soyo,-6.1349,12.3689,74.44,88,96,7.27,AO,1632186913
Yablochnyy,47.1661,142.0661,60.75,65,100,10.47,RU,1632186914
Leon Valley,29.4952,-98.6186,93.04,39,1,8.05,US,1632186707
Antonina,-25.4286,-48.7119,85.68,90,3,2.42,BR,1632186914
Mandalgovi,45.7625,106.2708,55.29,65,0,7.61,MN,1632186915
‘Ewa Beach,21.3156,-158.0072,89.55,43,20,12.66,US,1632186915
Mundo Nuevo (Ojo de Agua),18.7,-95.5,82.54,82,97,9.17,MX,1632186916
Talakan,50.3167,130.3667,56.39,59,100,5.3,RU,1632186916
Manyana,-23.4,21.7167,55.8,26,0,12.82,BW,1632186916
Disna,55.568,28.1971,38.71,98,100,9.4,BY,1632186917
Santa Maria da Vitória,-13.3947,-44.1886,80.4,31,33,2.91,BR,1632186917
Padre Bernardo,-15.35,-48.5,80.44,24,6,3.27,BR,1632186918
Kaeo,-35.1,173.7833,62.33,62,4,8.16,NZ,1632186918
Masterton,-40.9597,175.6575,58.5,57,100,13.2,NZ,1632186918
Zliv,49.0661,14.3661,50.09,62,100,0.76,CZ,1632186919
Lubango,-14.9172,13.4925,62.47,46,7,1.57,AO,1632186919
Nome,64.5011,-165.4064,39.27,56,90,19.57,US,1632186920
Tilichiki,60.4667,166.1,46.13,86,100,12.35,RU,1632186920
Paraíso,9.8383,-83.8656,67.06,96,97,2.44,CR,1632186920
San Luis,-33.295,-66.3356,51.91,58,10,11.81,AR,1632186921
Jacksonville,30.3322,-81.6556,78.78,95,75,10.36,US,1632186824
Hervey Bay,-25.2986,152.8535,78.91,41,0,15.88,AU,1632186921
Kalat,29.0225,66.5916,62.69,18,0,1.03,PK,1632186922
Goma,-1.6792,29.2228,62.82,78,8,2.86,CD,1632186922
Sakakah,29.9697,40.2064,80.17,20,0,9.89,SA,1632186923
Arrondissement de Langres,47.8333,5.3333,52.65,94,6,4.7,FR,1632186923
Sergeevka,53.88,67.4158,38.46,81,100,7.7,KZ,1632186923
Primo Tapia,32.22,-116.9172,77.9,71,23,3.69,MX,1632186858
Villazón,-22.0866,-65.5942,46.85,78,100,16.17,BO,1632186924
Cabra,37.4725,-4.4421,60.24,48,0,2.21,ES,1632186924
Makakilo City,21.3469,-158.0858,88.12,43,20,12.66,US,1632186925
Clifton,40.8584,-74.1638,71.04,62,1,8.05,US,1632186925
Russell,32.3502,-85.1999,78.4,88,40,0,US,1632186926
Kushima,31.4583,131.2333,83.71,79,42,4.97,JP,1632186926
Laguna,38.421,-121.4238,91.49,15,1,3.44,US,1632186927
Junín,-34.5838,-60.9433,51.82,80,0,9.57,AR,1632186738
Jaisalmer,26.9147,70.9181,85.05,60,44,14.56,IN,1632186927
Zhigansk,66.7697,123.3711,37.49,65,100,5.01,RU,1632186927
Podor,16.6527,-14.9587,89.26,45,0,13.31,MR,1632186928
Warrnambool,-38.3833,142.4833,52.83,57,21,17.58,AU,1632186928
Namatanai,-3.6667,152.4333,84.58,67,100,4.29,PG,1632186929
Besskorbnaya,44.6447,41.311,57.83,84,34,6.15,RU,1632186929
Rameswaram,9.2833,79.3,83.84,78,86,14.99,IN,1632186929
Barcelona,41.3888,2.159,62.11,77,20,9.22,ES,1632186930
Vuktyl,63.8567,57.3094,35.65,84,100,8.14,RU,1632186930
Kamaishi,39.2667,141.8833,74.35,67,0,11.07,JP,1632186931
Salinas,36.6777,-121.6555,88.61,40,1,9.22,US,1632186823
Santo Domingo,18.5001,-69.9886,78.48,90,11,7.72,DO,1632186890
Aljezur,37.3191,-8.8033,66.25,61,0,7.81,PT,1632186931
Kjøllefjord,70.9457,27.3465,40.41,72,14,20.94,NO,1632186932
São Miguel,-5.4667,-35.3667,75.97,75,33,15.82,BR,1632186674
Muroto-misakicho,33.2833,134.15,80.64,81,70,17.76,JP,1632186932
Ilanskiy,56.2358,96.065,38.5,81,91,9.1,RU,1632186933
Grindavik,63.8424,-22.4338,43.27,87,75,6.91,IS,1632186933
Mana,5.6592,-53.7767,79.38,84,46,8.84,GF,1632186934
Gizo Government Station,-8.103,156.8419,81.34,76,100,4.72,SB,1632186934
Luanda,-8.8368,13.2343,73.4,83,75,9.22,AO,1632186702
Rockland,41.1668,-74.0496,70.05,73,1,4.85,US,1632186935
Sioux Lookout,50.1001,-91.917,52.18,93,90,10.36,CA,1632186935
Meulaboh,4.1363,96.1285,77.41,83,99,1.83,ID,1632186935
Kadoma,34.7333,135.5833,82.45,55,20,9.22,JP,1632186936
Dauphin,51.1494,-100.0502,57.34,58,75,9.22,CA,1632186936
Antibes,43.5624,7.1278,62.08,83,0,10.36,FR,1632186937
Labuhan,-6.8844,112.2051,81.7,71,100,4.68,ID,1632186937
Dukat,62.55,155.55,37.29,98,100,8.3,RU,1632186938
Port Augusta,-32.5,137.7667,57.34,41,8,19.6,AU,1632186938
Nyuksenitsa,60.4128,44.2397,30.06,97,98,4.76,RU,1632186938
Mercedes,-34.6515,-59.4307,51.93,80,0,11.21,AR,1632186939
Jalu,29.0331,21.5482,84,24,0,8.68,LY,1632186939
Rocha,-34.4833,-54.3333,52.43,90,72,15.57,UY,1632186940
Bousso,10.4795,16.7117,73.49,93,100,8.52,TD,1632186940
Miraflores,19.2167,-98.8083,66.85,85,27,4,MX,1632186941
Inongo,-1.95,18.2667,69.8,79,90,4.65,CD,1632186941
Tonota,-21.4833,27.4833,71.01,25,5,5.97,BW,1632186941
Aksay,47.26,39.87,59.22,65,99,2.8,RU,1632186942
Daru,-9.0763,143.2092,78.78,89,100,15.43,PG,1632186942
Chateaubelair,13.2833,-61.25,81.21,73,60,7.76,VC,1632186942
Sochaczew,52.2294,20.2384,43,78,14,8.1,PL,1632186943
Gornopravdinsk,60.05,69.9,34.88,94,100,8.21,RU,1632186943
San Pedro de Ycuamandiyú,-24.0917,-57.0764,85.3,23,19,3.67,PY,1632186944
Kalmunai,7.4167,81.8167,78.94,84,100,8.01,LK,1632186944
Caravelas,-17.7125,-39.2481,72.05,84,5,4.41,BR,1632186944
